title	accession_no	organism	family	start_ad	end_ad	lenth
AB038186.1  Populus nigra chloroplast matK gene for maturase K, complete cds. 	AB038186 	Populus nigra 	Salicaceae	1	1533	1533
AB233827.1  Casearia sp. Tokuoka NC052 chloroplast matK gene for maturase K, 	AB233827 	Casearia sp. Tokuoka NC052 	Salicaceae	1	1202	1202
AB233828.1  Dovyalis macrocalyx chloroplast matK gene for maturase K, partial 	AB233828 	Dovyalis macrocalyx 	Salicaceae	1	1208	1208
AB233829.1  Flacourtia indica chloroplast matK gene for maturase K, partial cds. 	AB233829 	Flacourtia indica 	Salicaceae	1	1202	1202
AB233830.1  Homalium foetidum chloroplast matK gene for maturase K, partial cds. 	AB233830 	Homalium foetidum 	Salicaceae	1	1202	1202
AB233831.1  Idesia polycarpa chloroplast matK gene for maturase K, partial cds. 	AB233831 	Idesia polycarpa 	Salicaceae	1	1202	1202
AB233832.1  Lunania parviflora chloroplast matK gene for maturase K, partial 	AB233832 	Lunania parviflora 	Salicaceae	1	1202	1202
AB233833.1  Scolopia spinosa chloroplast matK gene for maturase K, partial cds. 	AB233833 	Scolopia spinosa 	Salicaceae	1	1202	1202
AB233834.1  Xylosma congesta chloroplast matK gene for maturase K, partial cds. 	AB233834 	Xylosma congesta 	Salicaceae	1	1202	1202
AB530660.1  Salix arbutifolia chloroplast matK gene for maturase, partial cds, 	AB530660 	Salix arbutifolia 	Salicaceae	1	1183	1183
AB530661.1  Salix arbutifolia chloroplast matK gene for maturase, partial cds, 	AB530661 	Salix arbutifolia 	Salicaceae	1	1183	1183
AB530662.1  Salix arbutifolia chloroplast matK gene for maturase, partial cds, 	AB530662 	Salix arbutifolia 	Salicaceae	1	1183	1183
AB530663.1  Salix arbutifolia chloroplast matK gene for maturase, partial cds, 	AB530663 	Salix arbutifolia 	Salicaceae	1	1183	1183
AB530664.1  Salix arbutifolia chloroplast matK gene for maturase, partial cds, 	AB530664 	Salix arbutifolia 	Salicaceae	1	1183	1183
AB530665.1  Salix arbutifolia chloroplast matK gene for maturase, partial cds, 	AB530665 	Salix arbutifolia 	Salicaceae	1	1183	1183
AB543615.1  Salix nummularia chloroplast matK gene for maturase K, partial cds. 	AB543615 	Salix nummularia 	Salicaceae	1	1183	1183
AB543617.1  Salix hukaoana chloroplast matK gene for maturase K, partial cds. 	AB543617 	Salix hukaoana 	Salicaceae	1	1183	1183
AJ506082.1  Populus tremula chloroplast matK gene for trnK maturase, isolate 01 	AJ506082 	Populus tremula 	Salicaceae	750	2282	1533
AJ506083.1  Populus tremula chloroplast matK gene for trnK maturase, isolate 08 	AJ506083 	Populus tremula 	Salicaceae	750	2282	1533
AJ506084.1  Populus tremula chloroplast matK gene for trnK maturase, isolate 08 	AJ506084 	Populus tremula 	Salicaceae	750	2282	1533
AJ506085.1  Populus tremula chloroplast matK gene for trnK maturase, isolate 24 	AJ506085 	Populus tremula 	Salicaceae	750	2282	1533
AJ506086.1  Populus tremula chloroplast matK gene for trnK maturase, isolate 04 	AJ506086 	Populus tremula 	Salicaceae	750	2282	1533
AJ506087.1  Populus tremula chloroplast matK gene for trnK maturase, isolate 17 	AJ506087 	Populus tremula 	Salicaceae	750	2282	1533
AJ506088.1  Populus tremula chloroplast matK gene for trnK maturase, isolate 23 	AJ506088 	Populus tremula 	Salicaceae	750	2282	1533
AJ849580.1  Salix alba chloroplast partial tRNA-Lys gene intron and partial matK 	AJ849580 	Salix alba 	Salicaceae	290	623	334
AJ849581.1  Salix fragilis chloroplast partial tRNA-Lys gene intron and partial 	AJ849581 	Salix fragilis 	Salicaceae	290	623	334
AJ849583.1  Salix babylonica chloroplast partial tRNA-Lys gene intron and 	AJ849583 	Salix babylonica 	Salicaceae	289	622	334
AJ849584.1  Salix purpurea chloroplast partial tRNA-Lys gene intron and partial 	AJ849584 	Salix purpurea 	Salicaceae	289	622	334
AJ849585.1  Salix triandra chloroplast partial tRNA-Lys gene intron and partial 	AJ849585 	Salix triandra 	Salicaceae	289	622	334
